dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,mean_rank_stability,ci95_low,ci95_high,n_users
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,lime,LIME,-0.05599999999999997,-0.15599999999999997,0.030000000000000016,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,loo,Leave-one-out,0.028000000000000004,-0.022,0.072,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,random,Random control,-0.010000000000000005,-0.12799999999999995,0.10399999999999994,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,shapley_mc,Monte Carlo Shapley,-0.04600000000000003,-0.188,0.21799999999999997,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,0.057999999999999996,-0.07799999999999999,0.16399999999999998,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,lime,LIME,0.022,-0.10399999999999998,0.182,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,-0.062,-0.14799999999999996,0.039999999999999994,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,random,Random control,0.02400000000000002,-0.12999999999999998,0.276,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,-0.10799999999999998,-0.144,-0.06799999999999998,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,0.02799999999999999,-0.126,0.176,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,-0.12,-0.182,-0.045999999999999985,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.033999999999999996,-0.10799999999999998,0.178,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,-0.029999999999999992,-0.11399999999999999,0.05799999999999998,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,-0.059999999999999984,-0.16599999999999998,0.044000000000000004,5
