dataset,model,evaluation_mode,utility,analysis_role,condition,metric,left,right,mean_difference,median_difference,ci95_low,ci95_high,permutation_p,sign_test_p,cohens_dz,n_users,wins,losses,ties,bootstrap_draws,permutation_draws,p_holm,condition_order,condition_label
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06509349065093491,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,4,MovieLens B=1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.0627937206279372,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,4,MovieLens B=1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06229377062293771,0.0625,inf,5,5,0,0,10000,10000,0.6099390060993901,5,MovieLens B=3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.060993900609939006,0.0625,inf,5,5,0,0,10000,10000,0.6099390060993901,5,MovieLens B=3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06109389061093891,0.0625,inf,5,5,0,0,10000,10000,0.6099390060993901,5,MovieLens B=3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.06259374062593741,0.0625,inf,5,5,0,0,10000,10000,0.6099390060993901,5,MovieLens B=3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06459354064593541,0.0625,inf,5,5,0,0,10000,10000,0.6239376062393761,6,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.06239376062393761,0.0625,inf,5,5,0,0,10000,10000,0.6239376062393761,6,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.0643935606439356,0.0625,inf,5,5,0,0,10000,10000,0.6239376062393761,6,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.06259374062593741,0.0625,inf,5,5,0,0,10000,10000,0.6239376062393761,6,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.062193780621937804,0.0625,inf,5,5,0,0,10000,10000,0.583941605839416,7,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.06369363063693631,0.0625,inf,5,5,0,0,10000,10000,0.583941605839416,7,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.058394160583941604,0.0625,inf,5,5,0,0,10000,10000,0.583941605839416,7,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.065993400659934,0.0625,inf,5,5,0,0,10000,10000,0.583941605839416,7,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06359364063593641,0.0625,inf,5,5,0,0,10000,10000,0.6089391060893911,8,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.0644935506449355,0.0625,inf,5,5,0,0,10000,10000,0.6089391060893911,8,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06229377062293771,0.0625,inf,5,5,0,0,10000,10000,0.6089391060893911,8,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.0608939106089391,0.0625,inf,5,5,0,0,10000,10000,0.6089391060893911,8,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06369363063693631,0.0625,inf,5,5,0,0,10000,10000,0.628937106289371,9,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.06409359064093591,0.0625,inf,5,5,0,0,10000,10000,0.628937106289371,9,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.065993400659934,0.0625,inf,5,5,0,0,10000,10000,0.628937106289371,9,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.0628937106289371,0.0625,inf,5,5,0,0,10000,10000,0.628937106289371,9,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.05979402059794021,0.0625,inf,5,5,0,0,10000,10000,0.5979402059794021,10,MovieLens rho=0.25
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.06189381061893811,0.0625,inf,5,5,0,0,10000,10000,0.5979402059794021,10,MovieLens rho=0.25
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06029397060293971,0.0625,inf,5,5,0,0,10000,10000,0.5979402059794021,10,MovieLens rho=0.25
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.06719328067193281,0.0625,inf,5,5,0,0,10000,10000,0.5979402059794021,10,MovieLens rho=0.25
