dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users,condition_order,condition_label,method_order
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,2,MovieLens sampled,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,2,MovieLens sampled,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,3,MovieLens full catalogue,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,3,MovieLens full catalogue,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,3,MovieLens full catalogue,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,3,MovieLens full catalogue,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,3,MovieLens full catalogue,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,4,MovieLens B=1,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,4,MovieLens B=1,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,4,MovieLens B=1,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,4,MovieLens B=1,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,4,MovieLens B=1,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,5,MovieLens B=3,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,5,MovieLens B=3,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,5,MovieLens B=3,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,5,MovieLens B=3,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,5,MovieLens B=3,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,6,MovieLens 100 candidates,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,6,MovieLens 100 candidates,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,6,MovieLens 100 candidates,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,6,MovieLens 100 candidates,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,6,MovieLens 100 candidates,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,7,MovieLens 500 candidates,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,7,MovieLens 500 candidates,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,7,MovieLens 500 candidates,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,7,MovieLens 500 candidates,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,7,MovieLens 500 candidates,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,8,MovieLens n_max=50,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,8,MovieLens n_max=50,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,8,MovieLens n_max=50,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,8,MovieLens n_max=50,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,8,MovieLens n_max=50,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,9,MovieLens n_max=100,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,9,MovieLens n_max=100,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,9,MovieLens n_max=100,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,9,MovieLens n_max=100,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,9,MovieLens n_max=100,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,shapley_mc,Monte Carlo Shapley,actionability_gap,0.13,0.13,0.13,5,5,0,10,MovieLens rho=0.25,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,lime,LIME,actionability_gap,-0.06,-0.06,-0.06,5,5,0,10,MovieLens rho=0.25,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,loo,Leave-one-out,actionability_gap,-0.06,-0.06,-0.06,5,5,0,10,MovieLens rho=0.25,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,greedy_cf,Greedy counterfactual,actionability_gap,-0.06,-0.06,-0.06,5,5,0,10,MovieLens rho=0.25,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,random,Random control,actionability_gap,-0.06,-0.06,-0.06,5,5,0,10,MovieLens rho=0.25,4
