dataset,model,evaluation_mode,utility,analysis_role,condition,metric,left,right,mean_difference,median_difference,ci95_low,ci95_high,permutation_p,sign_test_p,cohens_dz,n_users,wins,losses,ties,bootstrap_draws,permutation_draws,p_holm,condition_order,condition_label
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,lime,0.07696841113086413,0.04209550762363716,0.0627548470367516,0.09252614007265748,9.999000099990002e-05,7.466651011612525e-34,0.6279591209144243,250,210,31,9,10000,10000,0.000999900009999,3,MovieLens full catalogue
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,random,0.04318813046624817,0.02300751879699243,0.03319057548560974,0.05364734458512003,9.999000099990002e-05,8.878901605594264e-16,0.517063301908311,250,182,59,9,10000,10000,0.000999900009999,3,MovieLens full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,greedy_cf,0.015048702251939827,0.0,0.003781952615172412,0.029198202038370848,0.007599240075992401,0.16023471336290204,0.14510646718223047,250,112,91,47,10000,10000,0.015198480151984802,4,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,lime,0.02593615570154113,0.00495315775903068,0.01567982460872682,0.03944280534916528,9.999000099990002e-05,6.334979413164817e-12,0.26417319719308296,250,150,53,47,10000,10000,0.000999900009999,4,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,random,0.010817711195670729,0.0,0.004666125188914667,0.018131550335663434,0.0007999200079992001,0.0019404256423783078,0.19776352367903247,250,124,79,47,10000,10000,0.0023997600239976003,4,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,greedy_cf,0.02716649386247417,0.008689416072667941,0.016117185608661874,0.0397736425892006,9.999000099990002e-05,0.0001385585453016828,0.28393061317351126,250,142,84,24,10000,10000,0.000999900009999,5,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,lime,0.05469088326632304,0.024256577334966535,0.042759521055144405,0.0684005065047453,9.999000099990002e-05,4.615291938494596e-31,0.5346275782147056,250,196,30,24,10000,10000,0.000999900009999,5,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,random,0.029880608722081058,0.015075189648352555,0.02121730902671398,0.03928433628503369,9.999000099990002e-05,5.522430125132444e-11,0.4091096211784051,250,162,64,24,10000,10000,0.000999900009999,5,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,greedy_cf,0.014041145734672933,0.00033644220675952395,0.005916014338343472,0.024456457749876818,9.999000099990002e-05,0.000568738473845915,0.18249867521357271,250,127,77,46,10000,10000,0.000999900009999,6,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,lime,0.018683997310442176,0.0025019380000964484,0.009703221242139647,0.030263201644017756,9.999000099990002e-05,8.014793862589257e-18,0.22183334127570886,250,162,42,46,10000,10000,0.000999900009999,6,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,random,0.007920392940018329,0.0008778890115169401,0.0022197082399728375,0.014474307432443377,0.007799220077992201,1.0771933088313829e-06,0.15974527618144924,250,137,67,46,10000,10000,0.031196880311968805,6,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,greedy_cf,0.013120647351089155,5.7872372577364405e-05,0.00511381433453245,0.023842091516711003,0.0005999400059994001,5.416365361963828e-05,0.17244576497961991,250,126,69,55,10000,10000,0.0035996400359964006,7,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,lime,0.016110411840316394,0.0008328054888097291,0.007279184034109761,0.027830692461756693,9.999000099990002e-05,6.3698891811732735e-12,0.19341241280429675,250,145,50,55,10000,10000,0.000999900009999,7,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,random,0.005920790110957636,0.0,0.00039286813883368293,0.012290279197406313,0.0466953304669533,0.006356806337472246,0.12181466400923958,250,117,78,55,10000,10000,0.14008599140085992,7,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,greedy_cf,0.008230971845580474,0.0,0.004269025957514612,0.01209371430498835,9.999000099990002e-05,0.0008450699446919162,0.25760349336717675,250,124,76,50,10000,10000,0.000999900009999,8,MovieLens rho=0.25
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,lime,0.012127368422468665,0.00412497078873113,0.008747747003964733,0.016279592154784292,9.999000099990002e-05,1.334160780280296e-17,0.39789954263595567,250,159,41,50,10000,10000,0.000999900009999,8,MovieLens rho=0.25
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,random,0.008049313160954138,0.0010526315789473398,0.005027176619644465,0.011285490728798747,9.999000099990002e-05,1.3857451572364532e-05,0.3204165043770951,250,131,69,50,10000,10000,0.000999900009999,8,MovieLens rho=0.25
