regime,intervention_i,intervention_j,interaction_lower,interaction_upper,interaction_mean
complementary,diversify,novel_slot,-6.245004513516506e-18,-6.245004513516506e-18,-6.245004513516506e-18
complementary,diversify,provider_balance,-6.245004513516506e-18,-6.245004513516506e-18,-6.245004513516506e-18
complementary,novel_slot,provider_balance,-6.245004513516506e-18,-6.245004513516506e-18,-6.245004513516506e-18
redundant,repeat_cap,explore_slot,-1.2721305490496584e-18,-1.2721305490496584e-18,-1.2721305490496584e-18
redundant,repeat_cap,tail_slot,-8.67361737988404e-19,-8.67361737988404e-19,-8.67361737988404e-19
redundant,repeat_cap,diversify,-1.2721305490496584e-18,-1.2721305490496584e-18,-1.2721305490496584e-18
redundant,repeat_cap,novel_slot,-8.67361737988404e-19,-8.67361737988404e-19,-8.67361737988404e-19
redundant,repeat_cap,provider_balance,-1.272130549049659e-18,-1.272130549049659e-18,-1.272130549049659e-18
redundant,explore_slot,tail_slot,-8.67361737988404e-19,-8.67361737988404e-19,-8.67361737988404e-19
redundant,explore_slot,diversify,-1.2721305490496584e-18,-1.2721305490496584e-18,-1.2721305490496584e-18
redundant,explore_slot,novel_slot,-8.67361737988404e-19,-8.67361737988404e-19,-8.67361737988404e-19
redundant,explore_slot,provider_balance,-1.272130549049659e-18,-1.272130549049659e-18,-1.272130549049659e-18
redundant,tail_slot,diversify,1.73472347597681e-19,1.73472347597681e-19,1.73472347597681e-19
redundant,tail_slot,novel_slot,-0.15000000000000005,-0.15000000000000005,-0.15000000000000005
redundant,tail_slot,provider_balance,1.73472347597681e-19,1.73472347597681e-19,1.73472347597681e-19
redundant,diversify,novel_slot,-8.67361737988404e-19,-8.67361737988404e-19,-8.67361737988404e-19
redundant,diversify,provider_balance,-1.2721305490496586e-18,-1.2721305490496586e-18,-1.2721305490496586e-18
redundant,novel_slot,provider_balance,1.73472347597681e-19,1.73472347597681e-19,1.73472347597681e-19
antagonistic,repeat_cap,explore_slot,2.081668171172169e-18,2.081668171172169e-18,2.081668171172169e-18
antagonistic,repeat_cap,tail_slot,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
antagonistic,repeat_cap,diversify,0.0,0.0,0.0
antagonistic,repeat_cap,novel_slot,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
antagonistic,repeat_cap,provider_balance,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
antagonistic,explore_slot,tail_slot,-6.938893903907231e-19,-6.938893903907231e-19,-6.938893903907231e-19
antagonistic,explore_slot,diversify,-0.32,-0.32,-0.32
antagonistic,explore_slot,novel_slot,-6.938893903907231e-19,-6.938893903907231e-19,-6.938893903907231e-19
antagonistic,explore_slot,provider_balance,-6.938893903907231e-19,-6.938893903907231e-19,-6.938893903907231e-19
antagonistic,tail_slot,diversify,0.0,0.0,0.0
antagonistic,tail_slot,novel_slot,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
antagonistic,tail_slot,provider_balance,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
antagonistic,diversify,novel_slot,0.0,0.0,0.0
antagonistic,diversify,provider_balance,0.0,0.0,0.0
antagonistic,novel_slot,provider_balance,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
delayed_fatigue_short,repeat_cap,explore_slot,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
delayed_fatigue_short,repeat_cap,tail_slot,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
delayed_fatigue_short,repeat_cap,diversify,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
delayed_fatigue_short,repeat_cap,novel_slot,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
delayed_fatigue_short,repeat_cap,provider_balance,1.3877787807814458e-18,1.3877787807814458e-18,1.3877787807814458e-18
delayed_fatigue_short,explore_slot,tail_slot,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,explore_slot,diversify,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,explore_slot,novel_slot,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,explore_slot,provider_balance,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,tail_slot,diversify,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,tail_slot,novel_slot,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,tail_slot,provider_balance,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,diversify,novel_slot,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,diversify,provider_balance,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_short,novel_slot,provider_balance,9.54097911787244e-19,9.54097911787244e-19,9.54097911787244e-19
delayed_fatigue_long,repeat_cap,explore_slot,2.7755575615628923e-18,2.7755575615628923e-18,2.7755575615628923e-18
delayed_fatigue_long,repeat_cap,tail_slot,2.7755575615628923e-18,2.7755575615628923e-18,2.7755575615628923e-18
delayed_fatigue_long,repeat_cap,diversify,2.7755575615628923e-18,2.7755575615628923e-18,2.7755575615628923e-18
delayed_fatigue_long,repeat_cap,novel_slot,2.7755575615628923e-18,2.7755575615628923e-18,2.7755575615628923e-18
delayed_fatigue_long,repeat_cap,provider_balance,2.7755575615628923e-18,2.7755575615628923e-18,2.7755575615628923e-18
delayed_fatigue_long,explore_slot,tail_slot,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,explore_slot,diversify,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,explore_slot,novel_slot,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,explore_slot,provider_balance,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,tail_slot,diversify,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,tail_slot,novel_slot,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,tail_slot,provider_balance,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,diversify,novel_slot,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,diversify,provider_balance,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
delayed_fatigue_long,novel_slot,provider_balance,4.0766001685454976e-18,4.0766001685454976e-18,4.0766001685454976e-18
provider_repair_balancing,repeat_cap,explore_slot,1.2143064331837649e-18,1.2143064331837649e-18,1.2143064331837649e-18
provider_repair_balancing,repeat_cap,tail_slot,1.2143064331837649e-18,1.2143064331837649e-18,1.2143064331837649e-18
provider_repair_balancing,repeat_cap,diversify,1.2143064331837649e-18,1.2143064331837649e-18,1.2143064331837649e-18
provider_repair_balancing,repeat_cap,novel_slot,1.2143064331837649e-18,1.2143064331837649e-18,1.2143064331837649e-18
provider_repair_balancing,repeat_cap,provider_balance,-0.04,-0.04,-0.04
provider_repair_balancing,explore_slot,tail_slot,-1.4456028966473395e-18,-1.4456028966473395e-18,-1.4456028966473395e-18
provider_repair_balancing,explore_slot,diversify,-1.4456028966473395e-18,-1.4456028966473395e-18,-1.4456028966473395e-18
provider_repair_balancing,explore_slot,novel_slot,-1.4456028966473395e-18,-1.4456028966473395e-18,-1.4456028966473395e-18
provider_repair_balancing,explore_slot,provider_balance,0.0,0.0,0.0
provider_repair_balancing,tail_slot,diversify,-1.4456028966473395e-18,-1.4456028966473395e-18,-1.4456028966473395e-18
provider_repair_balancing,tail_slot,novel_slot,-1.4456028966473395e-18,-1.4456028966473395e-18,-1.4456028966473395e-18
provider_repair_balancing,tail_slot,provider_balance,0.0,0.0,0.0
provider_repair_balancing,diversify,novel_slot,-1.4456028966473395e-18,-1.4456028966473395e-18,-1.4456028966473395e-18
provider_repair_balancing,diversify,provider_balance,0.0,0.0,0.0
provider_repair_balancing,novel_slot,provider_balance,0.0,0.0,0.0
provider_repair_repeat,repeat_cap,explore_slot,-4.81482486096809e-35,-4.81482486096809e-35,-4.81482486096809e-35
provider_repair_repeat,repeat_cap,tail_slot,-4.81482486096809e-35,-4.81482486096809e-35,-4.81482486096809e-35
provider_repair_repeat,repeat_cap,diversify,-4.81482486096809e-35,-4.81482486096809e-35,-4.81482486096809e-35
provider_repair_repeat,repeat_cap,novel_slot,-4.81482486096809e-35,-4.81482486096809e-35,-4.81482486096809e-35
provider_repair_repeat,repeat_cap,provider_balance,-0.05000000000000002,-0.05000000000000002,-0.05000000000000002
provider_repair_repeat,explore_slot,tail_slot,-1.2721305490496586e-18,-1.2721305490496586e-18,-1.2721305490496586e-18
provider_repair_repeat,explore_slot,diversify,-1.2721305490496586e-18,-1.2721305490496586e-18,-1.2721305490496586e-18
provider_repair_repeat,explore_slot,novel_slot,-1.2721305490496586e-18,-1.2721305490496586e-18,-1.2721305490496586e-18
provider_repair_repeat,explore_slot,provider_balance,0.0,0.0,0.0
provider_repair_repeat,tail_slot,diversify,-1.2721305490496586e-18,-1.2721305490496586e-18,-1.2721305490496586e-18
provider_repair_repeat,tail_slot,novel_slot,-1.2721305490496586e-18,-1.2721305490496586e-18,-1.2721305490496586e-18
provider_repair_repeat,tail_slot,provider_balance,0.0,0.0,0.0
provider_repair_repeat,diversify,novel_slot,-1.2721305490496586e-18,-1.2721305490496586e-18,-1.2721305490496586e-18
provider_repair_repeat,diversify,provider_balance,0.0,0.0,0.0
provider_repair_repeat,novel_slot,provider_balance,0.0,0.0,0.0
misspecified_ambiguity,repeat_cap,explore_slot,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34
misspecified_ambiguity,repeat_cap,tail_slot,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34
misspecified_ambiguity,repeat_cap,diversify,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34
misspecified_ambiguity,repeat_cap,novel_slot,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34
misspecified_ambiguity,repeat_cap,provider_balance,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34
misspecified_ambiguity,explore_slot,tail_slot,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,explore_slot,diversify,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,explore_slot,novel_slot,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,explore_slot,provider_balance,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,tail_slot,diversify,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,tail_slot,novel_slot,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,tail_slot,provider_balance,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,diversify,novel_slot,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,diversify,provider_balance,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
misspecified_ambiguity,novel_slot,provider_balance,-1.4745149545802856e-18,-1.4745149545802856e-18,-1.4745149545802856e-18
